RED1,RED2,OCCURRENCE,ISSUE
1,33,65,21071 21065 21059 21010 21008 20129 20119 20081 19149 19116 19113 19101 19078 19014 18101 18065 17146 17138 17103 17090 16101 16099 16051 15109 15035 15015 15007 15006 14130 14123 14073 14032 13130 13111 13042 13010 12066 11109 10127 10115 10098 10048 09136 09135 09096 09093 09080 09041 09031 09024 08137 08128 08103 08073 08051 07135 07016 06153 06096 06074 05068 04116 04090 04012 04008 
2,3,75,22036 22013 22008 21109 21107 21043 21004 21001 20120 20045 19090 19014 18104 17132 17071 17054 17018 16121 16108 16087 15133 15124 15100 15047 15044 15010 14078 14058 14016 13127 13118 13111 13070 12072 12070 12052 12034 12033 12002 11087 11061 11023 10144 10141 10081 10056 10055 10045 10013 09130 09089 09031 09003 07141 07138 07098 07052 07027 06149 06123 06072 06070 06022 06015 05049 05047 05012 04103 04053 04051 04028 04001 03087 03059 03041 
2,4,87,22013 21101 21009 21007 20121 20120 20106 20086 20070 20059 20017 19140 19114 19089 19010 18133 18129 18090 18050 17077 17042 17039 17027 17007 17006 16150 16111 16084 16078 16051 16010 15052 15044 14135 14086 14082 14071 14057 14045 13104 13103 13102 13094 13086 13040 13027 13022 13014 12137 12082 12077 12070 11145 11141 11136 11087 11019 10108 10061 10045 10026 09121 09111 09015 09011 08001 07141 07110 07088 07072 07047 07022 07009 07001 06022 06003 05132 05128 05104 05100 05081 05066 05006 04053 03087 03070 03060 
2,5,80,22003 21144 20129 20085 20056 20031 19095 19021 19010 18127 18107 18077 18071 18064 17151 17132 17099 17065 17051 17047 17036 17021 17007 16150 16140 16120 16047 16024 15136 15134 15124 15067 14148 14109 14078 14066 14043 14026 13102 13090 13019 13016 13014 12135 12134 12081 12052 12039 12016 12014 11132 11090 11087 10120 10026 09101 09063 09018 08154 08144 08076 08061 08018 08017 07098 06149 06072 06021 06003 05102 05047 05006 04103 04032 04028 04018 03087 03059 03054 03044 
2,6,91,22039 21136 21118 21066 21040 21036 20121 20110 20086 20070 20042 20021 19151 19138 19127 19123 19121 19107 19090 19073 19027 19008 18129 18127 18104 18102 18071 17145 17128 17124 17099 17096 17074 17071 17068 17022 17009 16126 16120 16081 15059 15019 15016 14104 14078 14026 13123 13111 13102 13016 12137 12134 12052 11141 11136 11134 11023 11017 10124 10120 10106 10063 09121 09092 09037 09018 09015 09003 08059 08054 08036 08018 07141 07064 07055 07046 06108 06085 06051 06050 06003 05102 05021 05017 05012 04044 04018 03084 03060 03059 03030 
2,7,76,22039 22013 22008 21092 21089 21040 21009 21004 20042 20017 20014 19127 19021 18127 18086 18027 18006 17151 17042 16136 16111 16108 16024 15054 14114 14079 14029 14016 13068 13022 12136 12135 12134 12072 12002 11134 11131 11080 11022 10149 10141 10130 10065 09130 09111 09092 09089 09027 09016 08154 08090 08076 08064 08017 08001 07110 07105 07052 07046 07022 06145 06051 06024 05139 05131 05084 05062 05047 04073 04044 04034 04001 03084 03029 03024 03022 
2,8,85,21092 21039 21018 21004 20097 20082 20056 20052 20034 20014 20013 19123 19107 19090 19027 19021 19010 18006 17117 17065 17047 17009 17006 16152 16135 16108 16098 16078 16053 16047 16014 15138 15119 15085 15082 15067 15010 14111 14093 13111 13102 13093 13085 13072 13018 12136 12135 12034 11061 11033 10149 10147 10144 10124 10108 10106 10077 10065 10056 10026 10016 10012 09120 09105 09083 08122 08013 07107 07104 07072 07060 07052 06126 06108 06092 05126 05049 05047 04068 04035 04032 04018 03050 03043 03010 
2,9,85,22008 21136 21050 21041 20134 20120 20112 20110 20085 20066 20039 20031 19151 19150 19140 19114 19072 19041 19008 18132 18103 18077 18073 18029 18027 18006 17151 17132 17054 17051 17009 16152 16150 16051 15082 15059 15058 14093 14078 14064 14055 14045 14043 13103 13073 13070 13022 13007 12111 12072 12066 12043 12002 11144 11131 11080 11030 10122 10081 10023 10021 09115 09079 09070 08064 08019 08001 07111 07107 07064 07046 07034 07027 07001 06024 06015 05100 05050 04103 04101 04053 04051 04020 03054 03044 
2,10,86,22039 22013 21115 21109 21092 21050 20134 20120 20059 20039 20022 20014 20013 19036 19027 18146 18132 18090 18064 18050 17068 17065 17064 17047 17042 17036 17021 16136 16135 16121 16087 16053 16020 16014 15119 15058 15054 15016 14130 14127 14093 14086 14046 14019 13070 13041 13040 12111 12084 12081 12063 12032 12002 11144 10132 10120 10084 10074 10063 10019 10016 09121 09105 09101 09070 08144 08052 07111 07105 07088 07022 07001 06044 06034 05132 05131 05081 05066 05049 05017 04088 04051 04028 04001 03084 03043 
2,11,74,21036 20106 20082 20042 20039 19140 19125 19114 19027 19010 18146 18133 18127 18102 18100 18064 17151 17124 17117 17096 17069 17027 16148 16087 15100 15052 15019 14135 14109 14085 14046 14045 14026 14015 13123 13090 13086 13072 12135 12082 12043 12036 11137 11106 11089 11036 10124 10023 09127 09100 09089 09063 09027 08122 08076 08019 07098 07091 07055 07048 06149 06092 06090 06070 06024 05131 05066 05063 05062 05041 04069 04068 04032 03022 
2,12,88,22002 21115 21101 21092 21033 21007 20112 20056 20014 19144 19138 19127 19125 19114 19073 19046 19020 18133 18107 18081 18018 17145 17096 17069 17065 17039 16126 16084 16053 16020 16010 15136 15124 15108 15088 15014 14148 14127 14104 14086 14071 14058 14057 13085 13041 13040 13027 13016 12147 12109 12098 12051 12016 11132 11106 11033 11019 10132 10124 10122 10016 09130 09127 09120 09083 08131 08115 08081 08064 08061 07111 07104 07085 07048 07034 06106 06093 06050 06037 05131 05081 05062 05050 04044 03074 03073 03022 03012 
2,13,74,21144 21089 21087 21033 21001 20066 20052 19105 19072 19041 19036 19020 19008 18071 18018 17132 17128 16150 16092 16090 15133 15044 15026 14135 14121 14098 14058 14016 13127 13103 13087 13086 13073 13068 13018 12137 12134 12090 12077 12072 12062 12039 12036 11132 11069 11061 11033 10151 10056 10055 10045 10012 09141 09130 09115 09016 09011 08115 08081 08076 08036 07111 07072 06126 06070 06022 05126 05063 04073 04068 04036 04034 03030 03010 
2,14,87,22036 21118 21033 21018 20110 20089 20053 20042 20021 19150 19140 19126 19106 19095 19090 19089 19014 18100 18090 18073 18029 18027 17139 17117 17116 17071 17039 17027 16111 16087 16024 16015 16010 15134 15082 15044 15004 14086 14061 14058 14055 14043 14032 14029 13094 13085 13072 13039 13016 12051 11145 11106 11090 11038 11022 11021 10151 10084 10077 10012 09127 09111 09092 09064 09011 08122 08115 08090 08011 08001 07104 07072 07034 07009 06119 06106 06038 05128 05102 05100 05052 05029 04101 03081 03073 03030 03022 
2,15,88,22039 21144 21136 21115 20129 20106 20086 20053 20045 20034 20031 20017 20004 20001 19144 19121 19105 19072 18132 18127 18103 18100 18077 18073 17077 17051 17029 17025 17022 17009 16111 16092 16081 16051 16047 16008 15016 15004 14148 14109 14066 14064 14019 13147 13104 13039 13037 13022 13007 12147 12033 11145 11071 11038 11017 10147 10144 10130 10106 09127 09115 09111 09106 09066 09037 09031 09015 09003 08131 08059 08013 08008 07138 07110 07048 07009 06149 06090 06050 06034 06015 05084 05006 04069 04051 04032 03029 03024 
2,16,82,22036 22003 21134 21087 21050 20089 20053 20039 20034 20031 20021 20014 19089 19073 19046 19036 18129 18081 18073 18071 18031 17099 17074 17064 17025 17022 16152 15138 15059 15052 15044 15014 15004 14148 14079 14064 14029 13147 13102 13086 13085 13019 12062 12033 12014 11144 11069 11045 11022 10149 10142 10122 10061 10021 10013 09127 09120 09105 09079 09027 09016 08054 08013 08008 07064 07060 07047 06126 06093 06092 06034 06022 06003 05100 05041 05039 05012 04115 04103 04073 03044 03012 
2,17,99,22043 22003 21109 21107 21043 21004 20112 20082 20066 20059 20004 19127 19126 19123 19105 19027 18146 18097 18086 18064 18006 17145 17077 17039 17025 17018 16140 16126 16090 16047 15100 15073 15026 15016 14124 14111 14098 14078 14071 14066 14061 14046 13147 13123 13118 13104 13073 13041 13040 13014 12137 12136 12135 12063 12062 12051 12033 12032 12016 11131 11108 11045 11022 10151 10150 10074 10065 10063 10021 09100 09015 08115 08054 08052 08019 08017 08011 07141 07138 07111 07105 07091 07085 07048 06051 06047 06038 06034 05052 05009 04036 03084 03070 03060 03050 03041 03024 03012 03010 
2,18,76,22013 22003 21118 21043 21041 21001 20106 19151 19073 18146 18133 18129 18062 18050 18031 18027 18018 17022 16135 16126 16084 16024 16014 15124 15119 15058 14066 14057 14046 13103 13094 13037 12082 12077 12036 11137 11090 11087 11069 11021 10150 10147 10142 10141 10132 10084 10074 10022 10013 09106 09092 09083 09037 09011 08131 08115 08090 08081 08076 08064 08036 07136 07107 07047 07022 06093 06085 06044 06026 05132 05063 05039 04036 03070 03059 03041 
