RED1,RED2,RED3,RED4,BLUE,OCCURRENCE,ISSUE
1,2,24,30,10,1,14130 
1,2,24,30,12,1,11089 
1,2,24,33,10,1,14130 
1,2,25,26,7,1,16015 
1,2,25,28,13,1,18097 
1,2,25,29,14,1,07136 
1,2,25,31,8,2,21134 11021 
1,2,25,31,9,1,17018 
1,2,26,27,4,1,15073 
1,2,26,29,7,1,03081 
1,2,26,29,12,1,12066 
1,2,26,29,14,1,13093 
1,2,26,30,7,1,03081 
1,2,26,30,14,1,16148 
1,2,26,31,6,1,08061 
1,2,26,31,14,1,13093 
1,2,26,32,10,1,16140 
1,2,26,33,12,1,12066 
1,2,27,29,10,1,10052 
1,2,27,30,2,1,06119 
1,2,28,29,15,2,13096 09064 
1,2,28,30,2,1,11071 
1,2,28,30,9,1,14121 
1,2,28,30,12,1,12014 
1,2,28,30,15,1,13096 
1,2,28,31,4,1,04020 
1,2,28,33,4,1,20129 
1,2,29,30,7,1,03081 
1,2,29,30,12,1,11089 
1,2,29,30,15,1,13096 
1,2,29,31,2,1,10022 
1,2,29,31,14,1,13093 
1,2,29,32,2,1,10022 
1,2,29,32,3,1,06026 
1,2,29,33,7,1,14032 
1,2,29,33,12,1,12066 
1,2,30,31,10,1,11134 
1,2,30,32,1,1,05052 
1,2,30,33,1,1,09031 
1,2,30,33,10,1,14130 
1,2,31,32,2,1,10022 
1,3,4,5,9,1,07087 
1,3,4,6,8,1,06151 
1,3,4,6,11,1,11037 
1,3,4,6,14,1,07059 
1,3,4,6,15,1,05027 
1,3,4,7,14,1,07059 
1,3,4,8,6,1,14034 
1,3,4,8,9,1,07087 
1,3,4,9,12,1,20120 
1,3,4,10,4,1,17067 
1,3,4,10,12,1,20120 
1,3,4,11,2,1,18049 
1,3,4,11,14,1,17023 
1,3,4,16,8,1,06151 
1,3,4,17,11,1,11037 
1,3,4,18,4,1,17067 
1,3,4,18,14,1,17023 
1,3,4,19,2,1,18049 
1,3,4,21,9,1,07087 
1,3,4,21,15,1,05027 
1,3,4,22,8,1,06151 
1,3,4,22,14,1,17023 
1,3,4,23,2,1,18049 
1,3,4,23,13,1,15106 
1,3,4,25,6,1,14034 
1,3,4,25,11,1,11037 
1,3,4,29,4,1,17067 
1,3,4,29,14,1,07059 
1,3,4,31,6,1,14034 
1,3,4,31,13,1,15106 
1,3,4,32,13,1,15106 
1,3,4,32,15,1,05027 
1,3,5,8,3,1,04116 
1,3,5,8,9,1,07087 
1,3,5,10,12,1,04028 
1,3,5,12,12,1,11070 
1,3,5,13,5,1,11006 
1,3,5,14,3,1,04116 
1,3,5,16,5,1,11006 
1,3,5,18,1,1,21081 
1,3,5,18,5,1,11006 
1,3,5,18,13,1,04015 
1,3,5,20,4,1,11111 
1,3,5,20,5,1,15072 
1,3,5,21,5,1,15072 
1,3,5,21,9,1,07087 
1,3,5,21,12,1,11070 
1,3,5,22,1,1,21081 
1,3,5,22,12,1,04028 
1,3,5,22,13,1,04015 
1,3,5,23,1,1,21081 
1,3,5,23,13,1,04015 
1,3,5,25,4,1,11111 
1,3,5,27,4,1,11111 
1,3,5,28,12,1,11070 
1,3,5,31,5,1,15072 
1,3,5,33,3,1,04116 
1,3,6,7,2,1,21020 
1,3,6,7,14,1,07059 
1,3,6,8,13,1,13111 
1,3,6,9,2,1,21020 
1,3,6,9,16,1,19079 
1,3,6,10,15,1,12015 
1,3,6,10,16,1,18135 
1,3,6,11,2,1,21020 
1,3,6,11,11,1,10017 
1,3,6,11,16,1,18135 
1,3,6,12,11,1,10017 
1,3,6,12,12,1,10028 
1,3,6,13,12,1,14074 
1,3,6,16,7,1,16075 
1,3,6,16,8,1,06151 
1,3,6,16,12,1,10028 
1,3,6,17,11,1,11037 
1,3,6,19,7,1,17075 
1,3,6,19,16,1,19079 
1,3,6,20,1,1,18056 
1,3,6,21,1,1,18056 
1,3,6,21,7,1,17075 
1,3,6,21,15,2,12015 05027 
1,3,6,22,6,1,05018 
1,3,6,22,8,1,06151 
1,3,6,23,6,1,05018 
1,3,6,23,11,1,10017 
1,3,6,23,15,1,12015 
1,3,6,25,6,1,05018 
1,3,6,25,11,1,11037 
1,3,6,26,1,1,18056 
1,3,6,29,7,2,17075 16075 
1,3,6,29,14,1,07059 
1,3,6,29,16,1,18135 
1,3,6,30,12,1,14074 
1,3,6,31,12,1,14074 
1,3,6,31,16,1,19079 
1,3,6,32,7,1,16075 
1,3,6,32,12,1,10028 
1,3,6,32,15,1,05027 
1,3,6,33,13,1,13111 
1,3,7,8,5,1,06118 
1,3,7,8,14,1,04087 
1,3,7,9,2,1,21020 
1,3,7,10,5,1,06118 
1,3,7,10,7,1,04001 
1,3,7,10,11,1,20113 
1,3,7,11,2,1,21020 
1,3,7,12,6,1,16145 
1,3,7,13,16,1,14072 
1,3,7,14,2,1,10014 
1,3,7,14,7,1,04117 
1,3,7,18,7,1,05088 
1,3,7,18,12,1,10148 
1,3,7,18,16,1,16039 
1,3,7,19,6,1,16145 
1,3,7,19,16,2,16039 14072 
1,3,7,20,6,1,16145 
1,3,7,20,7,1,05088 
1,3,7,21,1,1,20064 
1,3,7,22,11,1,20113 
1,3,7,23,12,1,10148 
1,3,7,24,7,2,05088 04117 
1,3,7,25,7,2,04117 04001 
1,3,7,25,14,1,04087 
1,3,7,26,2,1,10014 
1,3,7,26,14,1,04087 
1,3,7,27,1,1,20064 
1,3,7,27,12,1,10148 
1,3,7,27,16,1,16039 
1,3,7,28,2,1,10014 
1,3,7,29,14,1,07059 
1,3,7,30,5,1,06118 
1,3,7,32,1,1,20064 
1,3,7,32,11,1,20113 
1,3,7,32,16,1,14072 
1,3,8,10,5,1,06118 
1,3,8,11,6,1,15128 
1,3,8,11,13,1,15150 
1,3,8,13,7,1,10056 
1,3,8,13,16,1,18040 
1,3,8,14,3,1,04116 
1,3,8,15,13,1,09005 
1,3,8,16,7,1,10098 
1,3,8,17,13,1,09005 
1,3,8,18,16,1,18040 
1,3,8,21,9,2,15010 07087 
1,3,8,21,13,1,09005 
1,3,8,22,6,1,15128 
1,3,8,23,16,1,18040 
1,3,8,25,6,1,14034 
1,3,8,25,14,1,04087 
1,3,8,26,14,1,04087 
1,3,8,28,6,1,15128 
1,3,8,29,7,1,10098 
1,3,8,29,13,1,15150 
1,3,8,30,5,1,06118 
1,3,8,31,6,1,14034 
1,3,8,31,9,1,15010 
1,3,8,31,13,1,15150 
1,3,8,32,7,1,10056 
1,3,8,33,3,1,04116 
1,3,8,33,7,1,10098 
1,3,8,33,13,1,13111 
1,3,9,10,12,1,20120 
1,3,9,11,2,1,21020 
1,3,9,11,12,2,10078 07041 
1,3,9,15,15,1,11109 
1,3,9,16,15,1,11109 
1,3,9,17,12,1,10078 
1,3,9,19,16,1,19079 
1,3,9,23,12,1,10078 
1,3,9,26,12,1,07041 
1,3,9,31,12,1,07041 
1,3,9,31,16,1,19079 
1,3,9,33,15,1,11109 
1,3,10,11,16,1,18135 
1,3,10,12,1,1,16044 
1,3,10,12,2,1,16079 
1,3,10,18,1,1,16044 
1,3,10,18,4,1,17067 
1,3,10,19,11,1,15112 
1,3,10,20,11,1,15112 
1,3,10,21,6,1,03006 
1,3,10,21,15,1,12015 
1,3,10,22,11,1,20113 
1,3,10,22,12,1,04028 
1,3,10,23,15,1,12015 
1,3,10,24,2,1,16079 
1,3,10,24,13,1,21079 
1,3,10,25,7,1,04001 
1,3,10,26,6,1,03006 
1,3,10,27,6,1,03006 
1,3,10,27,11,1,15112 
1,3,10,28,2,1,16079 
1,3,10,28,13,1,21079 
1,3,10,29,4,1,17067 
